dataset: visdrone
root_dir: /home/twsf/data/Visdrone/density_mask
test_dir: 
input_size: (640, 480)
mean: [0.382, 0.383, 0.367]
std: [0.164, 0.156, 0.164]
num_classes: 5
resume: False
pre: /home/twsf/work/CRGNet/run/visdrone/20200227_235050_train/model_best.pth.tar
backbone: mobilenetv2
output_stride: 16
output_channels: 5
sync_bn: False
batch_size: 32
epochs: 200
freeze_bn: False
loss: {'type': 'CrossEntropyLoss', 'ignore_index': -1, 'weight': None}
use_balanced_weights: True
lr_scheduler: poly
lr: 0.0005
momentum: 0.9
decay: 0.0005
steps: [0.8, 0.9]
gamma: 0.3
workers: 1
region_thd: 0.5
print_freq: 50
plot_every: 100
saver_freq: 1
seed: 1
Epoch: [0][50/203] lr: (1x:0.00050, eta: 28:31:58, time: 99.8, Loss: 1.7824 
Epoch: [0][100/203] lr: (1x:0.00050, eta: 28:19:29, time: 98.2, Loss: 1.6480 
Epoch: [0][150/203] lr: (1x:0.00050, eta: 28:15:47, time: 98.5, Loss: 1.5656 
Epoch: [0][200/203] lr: (1x:0.00050, eta: 28:13:07, time: 98.5, Loss: 1.5072 
Epoch: [1][47/203] lr: (1x:0.00050, eta: 22:56:17, time: 97.4, Loss: 1.4591 
Epoch: [1][97/203] lr: (1x:0.00050, eta: 22:54:22, time: 98.3, Loss: 1.4229 
Epoch: [1][147/203] lr: (1x:0.00050, eta: 22:53:02, time: 98.6, Loss: 1.3920 
Epoch: [1][197/203] lr: (1x:0.00050, eta: 22:52:00, time: 98.8, Loss: 1.3670 
Epoch: [2][44/203] lr: (1x:0.00050, eta: 22:48:29, time: 97.9, Loss: 1.3428 
Epoch: [2][94/203] lr: (1x:0.00050, eta: 22:47:42, time: 99.1, Loss: 1.3228 
Epoch: [2][144/203] lr: (1x:0.00050, eta: 22:44:17, time: 98.4, Loss: 1.2584 
Epoch: [2][194/203] lr: (1x:0.00050, eta: 22:42:55, time: 98.4, Loss: 1.2200 
Epoch: [3][41/203] lr: (1x:0.00050, eta: 22:39:36, time: 97.4, Loss: 1.1908 
Epoch: [3][91/203] lr: (1x:0.00050, eta: 22:37:29, time: 98.1, Loss: 1.1677 
Epoch: [3][141/203] lr: (1x:0.00050, eta: 22:37:16, time: 98.5, Loss: 1.1507 
Epoch: [3][191/203] lr: (1x:0.00050, eta: 22:36:17, time: 98.8, Loss: 1.1353 
Epoch: [4][38/203] lr: (1x:0.00050, eta: 22:33:35, time: 98.0, Loss: 1.1224 
Epoch: [4][88/203] lr: (1x:0.00050, eta: 22:32:02, time: 98.9, Loss: 1.1098 
Epoch: [4][138/203] lr: (1x:0.00050, eta: 22:31:23, time: 98.6, Loss: 1.1011 
Epoch: [4][188/203] lr: (1x:0.00050, eta: 22:28:27, time: 98.1, Loss: 1.0921 
Epoch: [5][35/203] lr: (1x:0.00050, eta: 22:25:23, time: 97.7, Loss: 1.0829 
Epoch: [5][85/203] lr: (1x:0.00050, eta: 22:23:42, time: 98.3, Loss: 1.0734 
Epoch: [5][135/203] lr: (1x:0.00050, eta: 22:23:03, time: 98.2, Loss: 1.0657 
Epoch: [5][185/203] lr: (1x:0.00050, eta: 22:22:39, time: 99.1, Loss: 1.0591 
Epoch: [6][32/203] lr: (1x:0.00050, eta: 22:20:55, time: 98.2, Loss: 1.0525 
Epoch: [6][82/203] lr: (1x:0.00050, eta: 22:18:04, time: 97.9, Loss: 1.0460 
Epoch: [6][132/203] lr: (1x:0.00050, eta: 22:16:37, time: 98.2, Loss: 1.0409 
Epoch: [6][182/203] lr: (1x:0.00050, eta: 22:14:25, time: 98.5, Loss: 1.0345 
Epoch: [7][29/203] lr: (1x:0.00050, eta: 22:11:18, time: 97.9, Loss: 1.0292 
Epoch: [7][79/203] lr: (1x:0.00050, eta: 22:10:00, time: 98.4, Loss: 1.0239 
Epoch: [7][129/203] lr: (1x:0.00050, eta: 22:08:46, time: 98.0, Loss: 1.0184 
Epoch: [7][179/203] lr: (1x:0.00050, eta: 22:07:14, time: 98.4, Loss: 1.0144 
Epoch: [8][26/203] lr: (1x:0.00050, eta: 22:04:58, time: 97.9, Loss: 1.0109 
Epoch: [8][76/203] lr: (1x:0.00050, eta: 22:03:33, time: 99.3, Loss: 1.0069 
Epoch: [8][126/203] lr: (1x:0.00050, eta: 22:03:57, time: 99.7, Loss: 1.0023 
Epoch: [8][176/203] lr: (1x:0.00050, eta: 22:02:49, time: 98.3, Loss: 0.9975 
Epoch: [9][23/203] lr: (1x:0.00050, eta: 22:00:28, time: 97.6, Loss: 0.9931 
Epoch: [9][73/203] lr: (1x:0.00050, eta: 21:59:24, time: 98.9, Loss: 0.9910 
Epoch: [9][123/203] lr: (1x:0.00050, eta: 21:57:39, time: 97.9, Loss: 0.9877 
Epoch: [9][173/203] lr: (1x:0.00050, eta: 21:56:12, time: 98.5, Loss: 0.9848 
Epoch: [10][20/203] lr: (1x:0.00050, eta: 21:53:15, time: 97.2, Loss: 0.9821 
Epoch: [10][70/203] lr: (1x:0.00050, eta: 21:51:44, time: 98.5, Loss: 0.9782 
Epoch: [10][120/203] lr: (1x:0.00050, eta: 21:50:21, time: 98.1, Loss: 0.9751 
Epoch: [10][170/203] lr: (1x:0.00050, eta: 21:47:50, time: 98.6, Loss: 0.9723 
Epoch: [11][17/203] lr: (1x:0.00050, eta: 21:43:22, time: 97.8, Loss: 0.9700 
Epoch: [11][67/203] lr: (1x:0.00050, eta: 21:41:45, time: 98.3, Loss: 0.9678 
Epoch: [11][117/203] lr: (1x:0.00050, eta: 21:40:51, time: 98.2, Loss: 0.9659 
Epoch: [11][167/203] lr: (1x:0.00050, eta: 21:38:49, time: 98.6, Loss: 0.9637 
Epoch: [12][14/203] lr: (1x:0.00050, eta: 21:37:25, time: 98.1, Loss: 0.9615 
Epoch: [12][64/203] lr: (1x:0.00050, eta: 21:35:58, time: 98.6, Loss: 0.9592 
Epoch: [12][114/203] lr: (1x:0.00050, eta: 21:36:03, time: 98.6, Loss: 0.9575 
Epoch: [12][164/203] lr: (1x:0.00050, eta: 21:33:45, time: 98.0, Loss: 0.9559 
Epoch: [13][11/203] lr: (1x:0.00050, eta: 21:31:57, time: 98.1, Loss: 0.9539 
Epoch: [13][61/203] lr: (1x:0.00050, eta: 21:30:39, time: 98.8, Loss: 0.9521 
Epoch: [13][111/203] lr: (1x:0.00050, eta: 21:29:38, time: 98.3, Loss: 0.9494 
Epoch: [13][161/203] lr: (1x:0.00050, eta: 21:28:15, time: 98.5, Loss: 0.9477 
Epoch: [14][8/203] lr: (1x:0.00050, eta: 21:25:45, time: 97.8, Loss: 0.9457 
Epoch: [14][58/203] lr: (1x:0.00050, eta: 21:24:18, time: 98.7, Loss: 0.9435 
