dataset: visdrone
root_dir: /home/twsf/data/Visdrone/density_mask
test_dir: 
input_size: (640, 480)
mean: [0.382, 0.383, 0.367]
std: [0.164, 0.156, 0.164]
num_classes: 5
resume: False
pre: /home/twsf/work/CRGNet/run/visdrone/20200227_235050_train/model_best.pth.tar
backbone: mobilenetv2
output_stride: 16
output_channels: 5
sync_bn: False
batch_size: 32
epochs: 200
freeze_bn: False
loss: {'type': 'CrossEntropyLoss', 'ignore_index': -1, 'weight': None}
use_balanced_weights: False
lr_scheduler: poly
lr: 0.0005
momentum: 0.9
decay: 0.0005
steps: [0.8, 0.9]
gamma: 0.3
workers: 1
region_thd: 0.5
print_freq: 50
plot_every: 100
saver_freq: 1
seed: 1
Epoch: [0][50/203] lr: (1x:0.00050, eta: 28:27:36, time: 99.5, Loss: 1.2205 
Epoch: [0][100/203] lr: (1x:0.00050, eta: 28:15:39, time: 98.0, Loss: 0.9809 
Epoch: [0][150/203] lr: (1x:0.00050, eta: 28:10:00, time: 97.9, Loss: 0.8767 
Epoch: [0][200/203] lr: (1x:0.00050, eta: 28:07:59, time: 98.4, Loss: 0.8151 
Epoch: [1][47/203] lr: (1x:0.00050, eta: 22:54:06, time: 97.8, Loss: 0.7747 
Epoch: [1][97/203] lr: (1x:0.00050, eta: 22:53:16, time: 98.7, Loss: 0.7472 
Epoch: [1][147/203] lr: (1x:0.00050, eta: 22:52:45, time: 99.0, Loss: 0.7232 
Epoch: [1][197/203] lr: (1x:0.00050, eta: 22:50:44, time: 98.2, Loss: 0.7046 
Epoch: [2][44/203] lr: (1x:0.00050, eta: 22:48:03, time: 98.3, Loss: 0.6902 
Epoch: [2][94/203] lr: (1x:0.00050, eta: 22:46:35, time: 98.5, Loss: 0.6777 
Epoch: [2][144/203] lr: (1x:0.00050, eta: 22:43:11, time: 98.2, Loss: 0.6098 
Epoch: [2][194/203] lr: (1x:0.00050, eta: 22:42:29, time: 98.7, Loss: 0.5902 
Epoch: [3][41/203] lr: (1x:0.00050, eta: 22:40:59, time: 98.0, Loss: 0.5773 
Epoch: [3][91/203] lr: (1x:0.00050, eta: 22:39:12, time: 98.3, Loss: 0.5677 
Epoch: [3][141/203] lr: (1x:0.00050, eta: 22:38:36, time: 98.5, Loss: 0.5595 
