Val[Epoch: [0], mean_loss: 0.6905, mIoU: 0.6284, Acc: 0.8245, Acc_class: 0.7387, fwIoU: 0.7013, RRecall: 0.8007, RNum: 7.1]
Val[Epoch: [1], mean_loss: 0.6264, mIoU: 0.6523, Acc: 0.8390, Acc_class: 0.7560, fwIoU: 0.7216, RRecall: 0.8194, RNum: 6.2]
Val[Epoch: [2], mean_loss: 0.5915, mIoU: 0.6793, Acc: 0.8529, Acc_class: 0.7782, fwIoU: 0.7429, RRecall: 0.8557, RNum: 5.6]
Val[Epoch: [3], mean_loss: 0.5685, mIoU: 0.6950, Acc: 0.8615, Acc_class: 0.7896, fwIoU: 0.7558, RRecall: 0.8702, RNum: 5.7]
Val[Epoch: [4], mean_loss: 0.5521, mIoU: 0.6985, Acc: 0.8649, Acc_class: 0.7892, fwIoU: 0.7597, RRecall: 0.8625, RNum: 5.5]
Val[Epoch: [5], mean_loss: 0.5396, mIoU: 0.7171, Acc: 0.8725, Acc_class: 0.8072, fwIoU: 0.7732, RRecall: 0.8965, RNum: 5.4]
Val[Epoch: [6], mean_loss: 0.5287, mIoU: 0.7226, Acc: 0.8756, Acc_class: 0.8105, fwIoU: 0.7779, RRecall: 0.8978, RNum: 5.4]
Val[Epoch: [7], mean_loss: 0.5226, mIoU: 0.7220, Acc: 0.8759, Acc_class: 0.8088, fwIoU: 0.7778, RRecall: 0.8886, RNum: 5.3]
Val[Epoch: [8], mean_loss: 0.5163, mIoU: 0.7232, Acc: 0.8768, Acc_class: 0.8088, fwIoU: 0.7790, RRecall: 0.8929, RNum: 5.3]
Val[Epoch: [9], mean_loss: 0.5105, mIoU: 0.7310, Acc: 0.8799, Acc_class: 0.8167, fwIoU: 0.7846, RRecall: 0.9013, RNum: 5.2]
Val[Epoch: [10], mean_loss: 0.5054, mIoU: 0.7343, Acc: 0.8814, Acc_class: 0.8194, fwIoU: 0.7872, RRecall: 0.9045, RNum: 5.2]
Val[Epoch: [11], mean_loss: 0.5005, mIoU: 0.7350, Acc: 0.8824, Acc_class: 0.8185, fwIoU: 0.7883, RRecall: 0.9033, RNum: 5.3]
Val[Epoch: [12], mean_loss: 0.4968, mIoU: 0.7462, Acc: 0.8864, Acc_class: 0.8310, fwIoU: 0.7960, RRecall: 0.9202, RNum: 5.2]
Val[Epoch: [13], mean_loss: 0.4940, mIoU: 0.7452, Acc: 0.8862, Acc_class: 0.8294, fwIoU: 0.7954, RRecall: 0.9163, RNum: 5.1]
Val[Epoch: [14], mean_loss: 0.4906, mIoU: 0.7436, Acc: 0.8860, Acc_class: 0.8265, fwIoU: 0.7946, RRecall: 0.9108, RNum: 5.1]
Val[Epoch: [15], mean_loss: 0.4872, mIoU: 0.7486, Acc: 0.8880, Acc_class: 0.8316, fwIoU: 0.7982, RRecall: 0.9182, RNum: 5.3]
Val[Epoch: [16], mean_loss: 0.4840, mIoU: 0.7522, Acc: 0.8896, Acc_class: 0.8348, fwIoU: 0.8010, RRecall: 0.9225, RNum: 5.2]
Val[Epoch: [17], mean_loss: 0.4823, mIoU: 0.7493, Acc: 0.8887, Acc_class: 0.8312, fwIoU: 0.7991, RRecall: 0.9171, RNum: 5.1]
Val[Epoch: [18], mean_loss: 0.4804, mIoU: 0.7524, Acc: 0.8898, Acc_class: 0.8347, fwIoU: 0.8012, RRecall: 0.9192, RNum: 5.2]
Val[Epoch: [19], mean_loss: 0.4781, mIoU: 0.7581, Acc: 0.8921, Acc_class: 0.8405, fwIoU: 0.8054, RRecall: 0.9273, RNum: 5.0]
