dataset: visdrone
root_dir: /home/twsf/data/Visdrone/density_mask
test_dir: 
input_size: (640, 480)
norm_cfg: {'mean': [0.382, 0.383, 0.367], 'std': [0.164, 0.156, 0.164]}
num_classes: 5
resume: False
pre: /home/twsf/work/CRGNet/run/visdrone/20200227_235050_train/model_best.pth.tar
backbone: mobilenetv2
output_stride: 16
output_channels: 5
sync_bn: False
batch_size: 32
epochs: 200
freeze_bn: False
loss: {'type': 'CrossEntropyLoss', 'ignore_index': -1, 'weight': [1, 2, 4, 8, 16]}
use_balanced_weights: False
lr_scheduler: poly
lr: 0.0005
momentum: 0.9
decay: 0.0005
steps: [0.8, 0.9]
gamma: 0.3
workers: 1
region_thd: 0.5
print_freq: 50
plot_every: 100
saver_freq: 1
seed: 1
Epoch: [0][50/203] lr: (1x:0.00050, eta: 28:23:00, time: 99.7, Loss: 1.7055 
Epoch: [0][100/203] lr: (1x:0.00050, eta: 28:12:05, time: 98.4, Loss: 1.5226 
Epoch: [0][150/203] lr: (1x:0.00050, eta: 28:10:05, time: 99.0, Loss: 1.4276 
Epoch: [0][200/203] lr: (1x:0.00050, eta: 28:05:16, time: 98.1, Loss: 1.3647 
Epoch: [1][47/203] lr: (1x:0.00050, eta: 22:57:26, time: 97.4, Loss: 1.3164 
Epoch: [1][97/203] lr: (1x:0.00050, eta: 22:54:46, time: 98.1, Loss: 1.2793 
Epoch: [1][147/203] lr: (1x:0.00050, eta: 22:54:29, time: 99.1, Loss: 1.2509 
Epoch: [1][197/203] lr: (1x:0.00050, eta: 22:52:35, time: 98.4, Loss: 1.2266 
Epoch: [2][44/203] lr: (1x:0.00050, eta: 22:50:35, time: 98.8, Loss: 1.2056 
Epoch: [2][94/203] lr: (1x:0.00050, eta: 22:49:07, time: 98.7, Loss: 1.1875 
Epoch: [2][144/203] lr: (1x:0.00050, eta: 22:46:29, time: 99.0, Loss: 1.1188 
Epoch: [2][194/203] lr: (1x:0.00050, eta: 22:45:31, time: 98.9, Loss: 1.0862 
Epoch: [3][41/203] lr: (1x:0.00050, eta: 22:42:36, time: 98.1, Loss: 1.0621 
Epoch: [3][91/203] lr: (1x:0.00050, eta: 22:40:48, time: 98.0, Loss: 1.0431 
Epoch: [3][141/203] lr: (1x:0.00050, eta: 22:40:03, time: 98.1, Loss: 1.0293 
Epoch: [3][191/203] lr: (1x:0.00050, eta: 22:39:34, time: 98.9, Loss: 1.0176 
Epoch: [4][38/203] lr: (1x:0.00050, eta: 22:36:56, time: 98.6, Loss: 1.0049 
Epoch: [4][88/203] lr: (1x:0.00050, eta: 22:35:39, time: 98.7, Loss: 0.9959 
Epoch: [4][138/203] lr: (1x:0.00050, eta: 22:32:41, time: 97.8, Loss: 0.9894 
Epoch: [4][188/203] lr: (1x:0.00050, eta: 22:30:40, time: 98.4, Loss: 0.9819 
Epoch: [5][35/203] lr: (1x:0.00050, eta: 22:27:00, time: 97.7, Loss: 0.9739 
Epoch: [5][85/203] lr: (1x:0.00050, eta: 22:24:48, time: 98.4, Loss: 0.9662 
Epoch: [5][135/203] lr: (1x:0.00050, eta: 22:22:54, time: 97.9, Loss: 0.9617 
Epoch: [5][185/203] lr: (1x:0.00050, eta: 22:22:28, time: 98.9, Loss: 0.9567 
Epoch: [6][32/203] lr: (1x:0.00050, eta: 22:21:24, time: 98.8, Loss: 0.9521 
Epoch: [6][82/203] lr: (1x:0.00050, eta: 22:19:32, time: 98.8, Loss: 0.9465 
Epoch: [6][132/203] lr: (1x:0.00050, eta: 22:19:38, time: 100.0, Loss: 0.9454 
Epoch: [6][182/203] lr: (1x:0.00050, eta: 22:19:05, time: 99.5, Loss: 0.9404 
Epoch: [7][29/203] lr: (1x:0.00050, eta: 22:17:55, time: 98.2, Loss: 0.9344 
Epoch: [7][79/203] lr: (1x:0.00050, eta: 22:15:54, time: 98.1, Loss: 0.9300 
Epoch: [7][129/203] lr: (1x:0.00050, eta: 22:15:13, time: 98.5, Loss: 0.9281 
Epoch: [7][179/203] lr: (1x:0.00050, eta: 22:13:49, time: 98.6, Loss: 0.9264 
Epoch: [8][26/203] lr: (1x:0.00050, eta: 22:12:04, time: 98.0, Loss: 0.9220 
Epoch: [8][76/203] lr: (1x:0.00050, eta: 22:09:32, time: 98.2, Loss: 0.9196 
Epoch: [8][126/203] lr: (1x:0.00050, eta: 22:06:38, time: 97.8, Loss: 0.9156 
Epoch: [8][176/203] lr: (1x:0.00050, eta: 22:05:19, time: 99.0, Loss: 0.9133 
Epoch: [9][23/203] lr: (1x:0.00050, eta: 22:00:58, time: 98.3, Loss: 0.9087 
Epoch: [9][73/203] lr: (1x:0.00050, eta: 21:58:11, time: 98.6, Loss: 0.9068 
Epoch: [9][123/203] lr: (1x:0.00050, eta: 21:56:34, time: 98.3, Loss: 0.9051 
Epoch: [9][173/203] lr: (1x:0.00050, eta: 21:54:16, time: 97.6, Loss: 0.9032 
Epoch: [10][20/203] lr: (1x:0.00050, eta: 21:51:07, time: 97.4, Loss: 0.9004 
Epoch: [10][70/203] lr: (1x:0.00050, eta: 21:48:22, time: 97.8, Loss: 0.8969 
Epoch: [10][120/203] lr: (1x:0.00050, eta: 21:48:05, time: 99.0, Loss: 0.8957 
Epoch: [10][170/203] lr: (1x:0.00050, eta: 21:47:35, time: 99.1, Loss: 0.8927 
Epoch: [11][17/203] lr: (1x:0.00050, eta: 21:45:17, time: 97.7, Loss: 0.8903 
Epoch: [11][67/203] lr: (1x:0.00050, eta: 21:43:32, time: 98.9, Loss: 0.8894 
Epoch: [11][117/203] lr: (1x:0.00050, eta: 21:41:34, time: 98.1, Loss: 0.8872 
Epoch: [11][167/203] lr: (1x:0.00050, eta: 21:39:54, time: 98.6, Loss: 0.8853 
Epoch: [12][14/203] lr: (1x:0.00050, eta: 21:40:34, time: 97.6, Loss: 0.8836 
Epoch: [12][64/203] lr: (1x:0.00050, eta: 21:41:06, time: 99.3, Loss: 0.8817 
Epoch: [12][114/203] lr: (1x:0.00050, eta: 21:42:05, time: 99.5, Loss: 0.8801 
Epoch: [12][164/203] lr: (1x:0.00050, eta: 21:42:27, time: 99.4, Loss: 0.8782 
Epoch: [13][11/203] lr: (1x:0.00050, eta: 21:36:31, time: 98.3, Loss: 0.8760 
